SampleID,SubjectID,TaxonLabel,Proportion
AM.Day1.4x3d,Subject 3,Actinobacteria Actinomyces,0.072432089965946
AM.Day1.4x3d,Subject 3,Actinobacteria Rothia,0.006969192999128851
AM.Day1.4x3d,Subject 3,Bacteroidetes Porphyromonas,0.01357408727330324
AM.Day1.4x3d,Subject 3,Bacteroidetes Prevotella,0.052649085293418864
AM.Day1.4x3d,Subject 3,Firmicutes Gemellaceae,0.029666587471291677
AM.Day1.4x3d,Subject 3,Firmicutes Granulicatella,0.017106200997861726
AM.Day1.4x3d,Subject 3,Firmicutes Streptococcus,0.39876455215015444
AM.Day1.4x3d,Subject 3,Firmicutes Veillonella,0.08054169636493229
AM.Day1.4x3d,Subject 3,Fusobacteria Fusobacterium,0.05369446424328819
AM.Day1.4x3d,Subject 3,Fusobacteria Leptotrichia,0.06742694226657163
AM.Day1.4x3d,Subject 3,Proteobacteria Haemophilus,0.012576225548427971
AM.Day1.4x3d,Subject 3,Proteobacteria Neisseria,0.06589055199176368
AM.Day1.4x3d,Subject 3,Other,0.12870832343391145
AM.Day1.80x9d,Subject 3,Actinobacteria Actinomyces,0.057693125292291994
AM.Day1.80x9d,Subject 3,Actinobacteria Rothia,0.005541147626943299
AM.Day1.80x9d,Subject 3,Bacteroidetes Porphyromonas,0.019826254552669245
AM.Day1.80x9d,Subject 3,Bacteroidetes Prevotella,0.10990178988988564
AM.Day1.80x9d,Subject 3,Firmicutes Gemellaceae,0.015475532502869776
AM.Day1.80x9d,Subject 3,Firmicutes Granulicatella,0.014157561328174823
AM.Day1.80x9d,Subject 3,Firmicutes Streptococcus,0.23226053314059777
AM.Day1.80x9d,Subject 3,Firmicutes Veillonella,0.10531014837804516
AM.Day1.80x9d,Subject 3,Fusobacteria Fusobacterium,0.08735456258945906
AM.Day1.80x9d,Subject 3,Fusobacteria Leptotrichia,0.08327310346782309
AM.Day1.80x9d,Subject 3,Proteobacteria Haemophilus,0.014072530929807406
AM.Day1.80x9d,Subject 3,Proteobacteria Neisseria,0.05468871788330995
AM.Day1.80x9d,Subject 3,Other,0.2004449924181228
AM.Day1.RTx3d,Subject 3,Actinobacteria Actinomyces,0.11164029038712771
AM.Day1.RTx3d,Subject 3,Actinobacteria Rothia,0.008549552678143241
AM.Day1.RTx3d,Subject 3,Bacteroidetes Porphyromonas,0.01686758942302922
AM.Day1.RTx3d,Subject 3,Bacteroidetes Prevotella,0.04818838782226191
AM.Day1.RTx3d,Subject 3,Firmicutes Gemellaceae,0.042995816176349
AM.Day1.RTx3d,Subject 3,Firmicutes Granulicatella,0.019215822460352895
AM.Day1.RTx3d,Subject 3,Firmicutes Streptococcus,0.4654793206661044
AM.Day1.RTx3d,Subject 3,Firmicutes Veillonella,0.054422781167832515
AM.Day1.RTx3d,Subject 3,Fusobacteria Fusobacterium,0.005308329612541549
AM.Day1.RTx3d,Subject 3,Fusobacteria Leptotrichia,0.048519124869772286
AM.Day1.RTx3d,Subject 3,Proteobacteria Haemophilus,0.039638835144118666
AM.Day1.RTx3d,Subject 3,Proteobacteria Neisseria,0.015246977890228374
AM.Day1.RTx3d,Subject 3,Other,0.12392717170213821
AM.Day10.Fresh,Subject 3,Actinobacteria Actinomyces,0.0582355856600033
AM.Day10.Fresh,Subject 3,Actinobacteria Rothia,0.013368026873726527
AM.Day10.Fresh,Subject 3,Bacteroidetes Porphyromonas,0.10823145547662316
AM.Day10.Fresh,Subject 3,Bacteroidetes Prevotella,0.11414450134919324
AM.Day10.Fresh,Subject 3,Firmicutes Gemellaceae,0.08326449694366429
AM.Day10.Fresh,Subject 3,Firmicutes Granulicatella,0.027968225122528775
AM.Day10.Fresh,Subject 3,Firmicutes Streptococcus,0.2339267030122804
AM.Day10.Fresh,Subject 3,Firmicutes Veillonella,0.052838812709950986
AM.Day10.Fresh,Subject 3,Fusobacteria Fusobacterium,0.05148961947243791
AM.Day10.Fresh,Subject 3,Fusobacteria Leptotrichia,0.03195385208436588
AM.Day10.Fresh,Subject 3,Proteobacteria Haemophilus,0.03869981827193127
AM.Day10.Fresh,Subject 3,Proteobacteria Neisseria,0.04583126824164326
AM.Day10.Fresh,Subject 3,Other,0.14004763478165097
AM.Day2.4x2d,Subject 3,Actinobacteria Actinomyces,0.011904334398678494
AM.Day2.4x2d,Subject 3,Actinobacteria Rothia,0.001975078105361439
AM.Day2.4x2d,Subject 3,Bacteroidetes Porphyromonas,0.013394620605451216
AM.Day2.4x2d,Subject 3,Bacteroidetes Prevotella,0.010162674614859769
AM.Day2.4x2d,Subject 3,Firmicutes Gemellaceae,0.14010485869213918
AM.Day2.4x2d,Subject 3,Firmicutes Granulicatella,0.019535317987574963
AM.Day2.4x2d,Subject 3,Firmicutes Streptococcus,0.7149603188853377
AM.Day2.4x2d,Subject 3,Firmicutes Veillonella,0.013215068050418357
AM.Day2.4x2d,Subject 3,Fusobacteria Fusobacterium,0.014328293891622077
AM.Day2.4x2d,Subject 3,Fusobacteria Leptotrichia,0.011437497755593062
AM.Day2.4x2d,Subject 3,Proteobacteria Haemophilus,0.003950156210722878
AM.Day2.4x2d,Subject 3,Proteobacteria Neisseria,0.013538262649477502
AM.Day2.4x2d,Subject 3,Other,0.031493518152763314
AM.Day2.icex1d,Subject 3,Actinobacteria Actinomyces,0.016858519062780634
AM.Day2.icex1d,Subject 3,Actinobacteria Rothia,0.006531145399624459
AM.Day2.icex1d,Subject 3,Bacteroidetes Porphyromonas,0.016327863499061148
AM.Day2.icex1d,Subject 3,Bacteroidetes Prevotella,0.019246469099518326
AM.Day2.icex1d,Subject 3,Firmicutes Gemellaceae,0.06298473344762838
AM.Day2.icex1d,Subject 3,Firmicutes Granulicatella,0.029553432933300677
AM.Day2.icex1d,Subject 3,Firmicutes Streptococcus,0.6165197158951751
AM.Day2.icex1d,Subject 3,Firmicutes Veillonella,0.02438974610172259
AM.Day2.icex1d,Subject 3,Fusobacteria Fusobacterium,0.02981876071516042
AM.Day2.icex1d,Subject 3,Fusobacteria Leptotrichia,0.021144583231284188
AM.Day2.icex1d,Subject 3,Proteobacteria Haemophilus,0.028532941464609357
AM.Day2.icex1d,Subject 3,Proteobacteria Neisseria,0.054392195281247446
AM.Day2.icex1d,Subject 3,Other,0.07369989386888726
AM.Day2.icex2d,Subject 3,Actinobacteria Actinomyces,0.031124419823326845
AM.Day2.icex2d,Subject 3,Actinobacteria Rothia,0.008797724210211109
AM.Day2.icex2d,Subject 3,Bacteroidetes Porphyromonas,0.02042820781554125
AM.Day2.icex2d,Subject 3,Bacteroidetes Prevotella,0.018853121724809102
AM.Day2.icex2d,Subject 3,Firmicutes Gemellaceae,0.07928731846084744
AM.Day2.icex2d,Subject 3,Firmicutes Granulicatella,0.034717772121575084
AM.Day2.icex2d,Subject 3,Firmicutes Streptococcus,0.6281778709387633
AM.Day2.icex2d,Subject 3,Firmicutes Veillonella,0.014846533912262315
AM.Day2.icex2d,Subject 3,Fusobacteria Fusobacterium,0.015331636472525827
AM.Day2.icex2d,Subject 3,Fusobacteria Leptotrichia,0.02090732145530768
AM.Day2.icex2d,Subject 3,Proteobacteria Haemophilus,0.018098517742176974
AM.Day2.icex2d,Subject 3,Proteobacteria Neisseria,0.03799371163347807
AM.Day2.icex2d,Subject 3,Other,0.07143584368917502
AM.Day3.4x1d,Subject 3,Actinobacteria Actinomyces,0.009469398771902202
AM.Day3.4x1d,Subject 3,Actinobacteria Rothia,0.0021143075642727008
AM.Day3.4x1d,Subject 3,Bacteroidetes Porphyromonas,0.013203175959873142
AM.Day3.4x1d,Subject 3,Bacteroidetes Prevotella,0.008659663960053082
AM.Day3.4x1d,Subject 3,Firmicutes Gemellaceae,0.13945432870734834
AM.Day3.4x1d,Subject 3,Firmicutes Granulicatella,0.031219775523516048
AM.Day3.4x1d,Subject 3,Firmicutes Streptococcus,0.7012753323286623
AM.Day3.4x1d,Subject 3,Firmicutes Veillonella,0.011943588474774511
AM.Day3.4x1d,Subject 3,Fusobacteria Fusobacterium,0.013090712791560764
AM.Day3.4x1d,Subject 3,Fusobacteria Leptotrichia,0.008862097663015362
AM.Day3.4x1d,Subject 3,Proteobacteria Haemophilus,0.0044760340988326324
AM.Day3.4x1d,Subject 3,Proteobacteria Neisseria,0.017184372118131314
AM.Day3.4x1d,Subject 3,Other,0.039047212038057534
AM.Day3.80x7d,Subject 3,Actinobacteria Actinomyces,0.007043044392036065
AM.Day3.80x7d,Subject 3,Actinobacteria Rothia,0.002470680720668688
AM.Day3.80x7d,Subject 3,Bacteroidetes Porphyromonas,0.028589305482023392
AM.Day3.80x7d,Subject 3,Bacteroidetes Prevotella,0.01613964159086169
AM.Day3.80x7d,Subject 3,Firmicutes Gemellaceae,0.08504596428743322
AM.Day3.80x7d,Subject 3,Firmicutes Granulicatella,0.034413052895028155
AM.Day3.80x7d,Subject 3,Firmicutes Streptococcus,0.6589658436412058
AM.Day3.80x7d,Subject 3,Firmicutes Veillonella,0.015369559288315605
AM.Day3.80x7d,Subject 3,Fusobacteria Fusobacterium,0.02156230447129037
AM.Day3.80x7d,Subject 3,Fusobacteria Leptotrichia,0.016797420224286472
AM.Day3.80x7d,Subject 3,Proteobacteria Haemophilus,0.022813688212927757
AM.Day3.80x7d,Subject 3,Proteobacteria Neisseria,0.02067991849962298
AM.Day3.80x7d,Subject 3,Other,0.07010957629429979
AM.Day8.RTx2d,Subject 3,Actinobacteria Actinomyces,0.016998766040095398
AM.Day8.RTx2d,Subject 3,Actinobacteria Rothia,0.0031319341076477846
AM.Day8.RTx2d,Subject 3,Bacteroidetes Porphyromonas,0.045158505746490406
AM.Day8.RTx2d,Subject 3,Bacteroidetes Prevotella,0.016699959605796844
AM.Day8.RTx2d,Subject 3,Firmicutes Gemellaceae,0.04473796335747763
AM.Day8.RTx2d,Subject 3,Firmicutes Granulicatella,0.05428870235005727
AM.Day8.RTx2d,Subject 3,Firmicutes Streptococcus,0.6373707247162722
AM.Day8.RTx2d,Subject 3,Firmicutes Veillonella,0.016854896275433132
AM.Day8.RTx2d,Subject 3,Fusobacteria Fusobacterium,0.003818082216037052
AM.Day8.RTx2d,Subject 3,Fusobacteria Leptotrichia,0.012002058444325168
AM.Day8.RTx2d,Subject 3,Proteobacteria Haemophilus,0.03151854536601022
AM.Day8.RTx2d,Subject 3,Proteobacteria Neisseria,0.045816986592444625
AM.Day8.RTx2d,Subject 3,Other,0.07160287518191225
BM.Day1.4x3d,Subject 1,Actinobacteria Actinomyces,0.013712988033889423
BM.Day1.4x3d,Subject 1,Actinobacteria Rothia,0.02335575159402568
BM.Day1.4x3d,Subject 1,Bacteroidetes Porphyromonas,0.007826011005327977
BM.Day1.4x3d,Subject 1,Bacteroidetes Prevotella,0.0037208489824438816
BM.Day1.4x3d,Subject 1,Firmicutes Gemellaceae,0.0502576644248406
BM.Day1.4x3d,Subject 1,Firmicutes Granulicatella,0.010778233906891432
BM.Day1.4x3d,Subject 1,Firmicutes Streptococcus,0.7485544589047078
BM.Day1.4x3d,Subject 1,Firmicutes Veillonella,0.03126910647218098
BM.Day1.4x3d,Subject 1,Fusobacteria Fusobacterium,0.008978950126648616
BM.Day1.4x3d,Subject 1,Fusobacteria Leptotrichia,0.01002707660057647
BM.Day1.4x3d,Subject 1,Proteobacteria Haemophilus,0.0074591667394532275
BM.Day1.4x3d,Subject 1,Proteobacteria Neisseria,0.027478382391475237
BM.Day1.4x3d,Subject 1,Other,0.056581360817538645
BM.Day1.80x9d,Subject 1,Actinobacteria Actinomyces,0.004674900479738696
BM.Day1.80x9d,Subject 1,Actinobacteria Rothia,0.007349188527100133
BM.Day1.80x9d,Subject 1,Bacteroidetes Porphyromonas,0.014780034704501378
BM.Day1.80x9d,Subject 1,Bacteroidetes Prevotella,0.010043890987036848
BM.Day1.80x9d,Subject 1,Firmicutes Gemellaceae,0.04899459018066755
BM.Day1.80x9d,Subject 1,Firmicutes Granulicatella,0.005573134633050934
BM.Day1.80x9d,Subject 1,Firmicutes Streptococcus,0.7997958558742472
BM.Day1.80x9d,Subject 1,Firmicutes Veillonella,0.018985403695008677
BM.Day1.80x9d,Subject 1,Fusobacteria Fusobacterium,0.013718485250586915
BM.Day1.80x9d,Subject 1,Fusobacteria Leptotrichia,0.01012554863733796
BM.Day1.80x9d,Subject 1,Proteobacteria Haemophilus,0.005899765234255385
BM.Day1.80x9d,Subject 1,Proteobacteria Neisseria,0.012820251097274676
BM.Day1.80x9d,Subject 1,Other,0.04723895069919363
BM.Day1.RTx3d,Subject 1,Actinobacteria Actinomyces,0.0070438799076212475
BM.Day1.RTx3d,Subject 1,Actinobacteria Rothia,0.010969976905311778
BM.Day1.RTx3d,Subject 1,Bacteroidetes Porphyromonas,0.009237875288683603
BM.Day1.RTx3d,Subject 1,Bacteroidetes Prevotella,0.007390300230946882
BM.Day1.RTx3d,Subject 1,Firmicutes Gemellaceae,0.05975750577367205
BM.Day1.RTx3d,Subject 1,Firmicutes Granulicatella,0.018071593533487296
BM.Day1.RTx3d,Subject 1,Firmicutes Streptococcus,0.79364896073903
BM.Day1.RTx3d,Subject 1,Firmicutes Veillonella,0.00894919168591224
BM.Day1.RTx3d,Subject 1,Fusobacteria Fusobacterium,0.008371824480369515
BM.Day1.RTx3d,Subject 1,Fusobacteria Leptotrichia,0.009468822170900693
BM.Day1.RTx3d,Subject 1,Proteobacteria Haemophilus,0.005080831408775982
BM.Day1.RTx3d,Subject 1,Proteobacteria Neisseria,0.012702078521939953
BM.Day1.RTx3d,Subject 1,Other,0.04930715935334873
BM.Day10.Fresh,Subject 1,Actinobacteria Actinomyces,0.0028624003271314658
BM.Day10.Fresh,Subject 1,Actinobacteria Rothia,0.01125974822560388
BM.Day10.Fresh,Subject 1,Bacteroidetes Porphyromonas,0.008003037649326751
BM.Day10.Fresh,Subject 1,Bacteroidetes Prevotella,0.0042205800741887435
BM.Day10.Fresh,Subject 1,Firmicutes Gemellaceae,0.07802961708093582
BM.Day10.Fresh,Subject 1,Firmicutes Granulicatella,0.008528784648187633
BM.Day10.Fresh,Subject 1,Firmicutes Streptococcus,0.7742062680725531
BM.Day10.Fresh,Subject 1,Firmicutes Veillonella,0.008981511230540059
BM.Day10.Fresh,Subject 1,Fusobacteria Fusobacterium,0.010909250226363292
BM.Day10.Fresh,Subject 1,Fusobacteria Leptotrichia,0.010310482810993954
BM.Day10.Fresh,Subject 1,Proteobacteria Haemophilus,0.0055933639045477115
BM.Day10.Fresh,Subject 1,Proteobacteria Neisseria,0.03989835558022023
BM.Day10.Fresh,Subject 1,Other,0.037196600169407366
BM.Day2.4x2d,Subject 1,Actinobacteria Actinomyces,0.030215563267485316
BM.Day2.4x2d,Subject 1,Actinobacteria Rothia,0.01309730379071009
BM.Day2.4x2d,Subject 1,Bacteroidetes Porphyromonas,0.045798852108916176
BM.Day2.4x2d,Subject 1,Bacteroidetes Prevotella,0.02502669514148425
BM.Day2.4x2d,Subject 1,Firmicutes Gemellaceae,0.05235584623598505
BM.Day2.4x2d,Subject 1,Firmicutes Granulicatella,0.019787773625200213
BM.Day2.4x2d,Subject 1,Firmicutes Streptococcus,0.3890816871329418
BM.Day2.4x2d,Subject 1,Firmicutes Veillonella,0.07931793913507741
BM.Day2.4x2d,Subject 1,Fusobacteria Fusobacterium,0.05390750133475707
BM.Day2.4x2d,Subject 1,Fusobacteria Leptotrichia,0.05167178323545115
BM.Day2.4x2d,Subject 1,Proteobacteria Haemophilus,0.0013514415376401495
